Tipo,Data de emissão,Fornecedor,N° da NF,V. Total da NF,Data de Vencimento,ICMS,COFINS,PIS,IPI
C,2025-11-01,Fornecedor A,12345,1500.0,2025-11-30,270.0,45.0,22.5,75.0
D,2025-12-10,Telefonica,67892,6000.0,2026-01-10,960.0,180.0,90.0,300.0
C,2025-11-05,Fornecedor B,12346,2500.0,2025-12-05,450.0,75.0,37.5,125.0
C,2025-11-10,Fornecedor C,12347,3500.0,2025-12-10,630.0,105.0,52.5,175.0
S,2025-11-15,Eletricista A,54321,1000.0,2025-12-15,0.0,0.0,0.0,0.0
C,2025-11-01,Fornecedor A,12345,1500.0,2025-11-30,270.0,45.0,22.5,75.0
D,2025-12-05,Sabesp,67891,5000.0,2026-01-05,800.0,150.0,75.0,250.0
C,2025-11-05,Fornecedor B,12346,2500.0,2025-12-05,450.0,75.0,37.5,125.0
C,2025-11-10,Fornecedor C,12347,3500.0,2025-12-10,630.0,105.0,52.5,175.0
S,2025-11-20,Mecanico B,54322,2000.0,2025-12-20,0.0,0.0,0.0,0.0
C,2025-11-01,Fornecedor A,12345,1500.0,2025-11-30,270.0,45.0,22.5,75.0
D,2025-11-30,Enel,67890,4000.0,2025-12-30,640.0,120.0,60.0,200.0
S,2025-11-25,Consultoria C,54323,3000.0,2025-12-25,0.0,0.0,0.0,0.0
C,2025-11-05,Fornecedor B,12346,2500.0,2025-12-05,450.0,75.0,37.5,125.0
C,2025-11-10,Fornecedor C,12347,3500.0,2025-12-10,630.0,105.0,52.5,175.0
C,2025-11-05,Fornecedor B,12346,2500.0,2025-12-05,450.0,75.0,37.5,125.0
C,2025-11-01,Fornecedor A,12345,1500.0,2025-11-30,270.0,45.0,22.5,75.0
C,2025-11-03,FORNECEDOR DE METAL,25048,4314.82,2025-11-10,501.51,125.37,27.16,135.82
C,2025-11-04,OUTRO FORNECEDOR DE METAL,9999,1933.25,2025-11-11,224.7,125.23,27.19,60.85
